acousticness,danceability,energy,valence,instrumentalness,loudness,tempo,popularity,key,mode,duration_ms,speechiness,liveness,explicit,year
0.266,0.678,0.551,0.767,0.003,-7.332,97.767,53,1,1,280453,0.026,0.254,0,2000
0.432,0.576,0.367,0.77,0,-14.785,108.446,52,1,1,129333,0.03,0.124,0,2000
0.038,0.811,0.661,0.612,0,-6.487,103.887,46,5,0,266173,0.233,0.134,0,2000
0.262,0.601,0.365,0.234,0,-9.205,71.95,42,7,1,219067,0.026,0.246,0,2000
0.024,0.751,0.552,0.722,0,-10.188,124.178,44,7,1,213600,0.03,0.158,0,2000
0,0.479,0.936,0.651,0,-4.367,99.839,54,6,0,219800,0.034,0.221,0,2000
0.182,0.752,0.566,0.727,0,-6.677,74.869,53,1,0,235667,0.162,0.666,1,2000
0.002,0.658,0.709,0.855,0.004,-6.736,129.699,65,8,1,121880,0.09,0.066,0,2000
0.176,0.484,0.525,0.216,0,-5.99,59.957,49,6,1,297000,0.042,0.36,0,2000
0.068,0.42,0.463,0.659,0,-9.056,78.83,46,6,1,334000,0.12,0.119,0,2000
0.055,0.927,0.53,0.567,0,-6.602,106.363,50,6,1,247120,0.253,0.07,1,2000
0,0.271,0.759,0.381,0.842,-7.419,136.081,49,6,1,254493,0.033,0.335,0,2000
0.337,0.668,0.874,0.921,0,-8.751,187.435,68,5,0,251253,0.047,0.034,0,2000
0.04,0.584,0.682,0.722,0,-9.597,105.17,52,10,0,233053,0.333,0.352,1,2000
0.187,0.9,0.574,0.881,0.002,-7.465,94.071,43,4,0,237707,0.295,0.086,0,2000
0.316,0.843,0.551,0.962,0,-6.958,83.511,52,0,1,247133,0.156,0.064,1,2000
0.013,0.732,0.812,0.825,0.015,-5.42,122.675,42,1,1,194360,0.035,0.058,0,2000
0.003,0.586,0.887,0.401,0,-5.709,128.016,53,7,0,262388,0.087,0.993,0,2000
0.058,0.736,0.705,0.557,0,-6.231,86.404,57,7,1,238840,0.24,0.321,1,2000
0.019,0.744,0.447,0.78,0.001,-11.735,145.855,53,2,1,253107,0.044,0.077,0,2000
0.92,0.686,0.094,0.307,0,-18.367,120.646,49,0,1,138627,0.041,0.106,0,2000
0.163,0.75,0.677,0.851,0.051,-7.395,99.99,55,8,1,157200,0.221,0.247,0,2000
0.067,0.829,0.614,0.496,0.001,-8.546,90.924,48,1,1,195293,0.267,0.098,1,2000
0.322,0.463,0.876,0.569,0,-4.837,92.092,57,1,1,261360,0.047,0.409,0,2000
0.051,0.726,0.984,0.912,0.011,-5.949,131.934,58,2,1,239733,0.056,0.663,0,2000
0.022,0.748,0.842,0.945,0,-3.107,119.023,54,10,1,233573,0.026,0.357,0,2000
0.287,0.351,0.489,0.359,0,-7.662,135.077,46,2,1,218787,0.034,0.22,0,2000
0.237,0.516,0.916,0.478,0,-7.255,102.779,59,7,1,261000,0.064,0.636,0,2000
0.018,0.597,0.945,0.939,0,-3.845,147.908,61,6,1,232827,0.05,0.065,0,2000
